game_id,season,week,gameday,home_team,away_team,home_score,away_score,location,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2006_01_MIA_PIT,2006,1,2006-09-07,PIT,MIA,28,17,Home,1500,1500,1524.84906649788,1475.15093350212
2006_01_ATL_CAR,2006,1,2006-09-10,CAR,ATL,6,20,Home,1500,1500,1472.9194979889778,1527.0805020110222
2006_01_BAL_TB,2006,1,2006-09-10,TB,BAL,0,27,Home,1500,1500,1466.677954898248,1533.322045101752
2006_01_BUF_NE,2006,1,2006-09-10,NE,BUF,19,17,Home,1500,1500,1510.9861228866812,1489.0138771133188
2006_01_CHI_GB,2006,1,2006-09-10,GB,CHI,0,26,Home,1500,1500,1467.0416313399567,1532.9583686600433
2006_01_CIN_KC,2006,1,2006-09-10,KC,CIN,10,23,Home,1500,1500,1473.6094267038475,1526.3905732961525
2006_01_DAL_JAX,2006,1,2006-09-10,JAX,DAL,24,17,Home,1500,1500,1520.7944154167983,1479.2055845832017
2006_01_DEN_STL,2006,1,2006-09-10,LA,DEN,18,10,Home,1500,1500,1521.9722457733621,1478.0277542266379
2006_01_IND_NYG,2006,1,2006-09-10,NYG,IND,21,26,Home,1500,1500,1482.0824053077195,1517.9175946922805
2006_01_NO_CLE,2006,1,2006-09-10,CLE,NO,14,19,Home,1500,1500,1482.0824053077195,1517.9175946922805
2006_01_NYJ_TEN,2006,1,2006-09-10,TEN,NYJ,16,23,Home,1500,1500,1479.2055845832017,1520.7944154167983
2006_01_PHI_HOU,2006,1,2006-09-10,HOU,PHI,10,24,Home,1500,1500,1472.9194979889778,1527.0805020110222
2006_01_SEA_DET,2006,1,2006-09-10,DET,SEA,6,9,Home,1500,1500,1486.137056388801,1513.862943611199
2006_01_SF_ARI,2006,1,2006-09-10,ARI,SF,34,27,Home,1500,1500,1520.7944154167983,1479.2055845832017
2006_01_MIN_WAS,2006,1,2006-09-11,WAS,MIN,16,19,Home,1500,1500,1486.137056388801,1513.862943611199
2006_01_SD_OAK,2006,1,2006-09-11,LV,LAC,0,27,Home,1500,1500,1466.677954898248,1533.322045101752
2006_02_ARI_SEA,2006,2,2006-09-17,SEA,ARI,21,10,Home,1513.862943611199,1520.7944154167983,1539.1280905405533,1495.529268487444
2006_02_BUF_MIA,2006,2,2006-09-17,MIA,BUF,6,16,Home,1475.15093350212,1489.0138771133188,1452.272417026717,1511.892393588722
2006_02_CAR_MIN,2006,2,2006-09-17,MIN,CAR,16,13,Home,1513.862943611199,1472.9194979889778,1525.876159528197,1460.9062820719798
2006_02_CLE_CIN,2006,2,2006-09-17,CIN,CLE,34,17,Home,1526.3905732961525,1482.0824053077195,1551.129827477952,1457.34315112592
2006_02_DET_CHI,2006,2,2006-09-17,CHI,DET,34,7,Home,1532.9583686600433,1486.137056388801,1561.215458505981,1457.8799665428635
2006_02_HOU_IND,2006,2,2006-09-17,IND,HOU,43,24,Home,1517.9175946922805,1472.9194979889778,1543.4934263890998,1447.3436662921586
2006_02_KC_DEN,2006,2,2006-09-17,DEN,KC,9,6,Home,1478.0277542266379,1473.6094267038475,1491.686980475202,1459.9502004552833
2006_02_NE_NYJ,2006,2,2006-09-17,NYJ,NE,17,24,Home,1520.7944154167983,1510.9861228866812,1499.5080198747846,1532.2725184286949
2006_02_NO_GB,2006,2,2006-09-17,GB,NO,27,34,Home,1467.0416313399567,1517.9175946922805,1449.6722947518647,1535.2869312803725
2006_02_NYG_PHI,2006,2,2006-09-17,PHI,NYG,24,30,Home,1527.0805020110222,1482.0824053077195,1505.5554211236115,1503.6074861951302
2006_02_OAK_BAL,2006,2,2006-09-17,BAL,LV,28,6,Home,1533.322045101752,1466.677954898248,1557.9880655029503,1442.0119344970497
2006_02_STL_SF,2006,2,2006-09-17,SF,LA,20,13,Home,1479.2055845832017,1521.9722457733621,1502.101697127924,1499.07613322864
2006_02_TB_ATL,2006,2,2006-09-17,ATL,TB,14,3,Home,1527.0805020110222,1466.677954898248,1547.1027748969243,1446.6556820123458
2006_02_TEN_SD,2006,2,2006-09-17,LAC,TEN,40,7,Home,1533.322045101752,1479.2055845832017,1562.4212018686742,1450.1064278162796
2006_02_WAS_DAL,2006,2,2006-09-17,DAL,WAS,27,10,Home,1479.2055845832017,1486.137056388801,1508.5932749215624,1456.7493660504404
2006_02_PIT_JAX,2006,2,2006-09-18,JAX,PIT,9,0,Home,1520.7944154167983,1524.84906649788,1544.0461175575838,1501.5973643570944
2006_03_BAL_CLE,2006,3,2006-09-24,CLE,BAL,14,15,Home,1457.34315112592,1557.9880655029503,1452.5830084933966,1562.7482081354738
2006_03_CAR_TB,2006,3,2006-09-24,TB,CAR,24,26,Home,1446.6556820123458,1460.9062820719798,1436.1877258349498,1471.3742382493758
2006_03_CHI_MIN,2006,3,2006-09-24,MIN,CHI,16,19,Home,1525.876159528197,1561.215458505981,1513.6153867171247,1573.4762313170531
2006_03_CIN_PIT,2006,3,2006-09-24,PIT,CIN,20,28,Home,1501.5973643570944,1551.129827477952,1483.1518559171313,1569.575335917915
2006_03_DEN_NE,2006,3,2006-09-24,NE,DEN,7,17,Home,1532.2725184286949,1491.686980475202,1505.990005481077,1517.9694934228198
2006_03_GB_DET,2006,3,2006-09-24,DET,GB,24,31,Home,1457.8799665428635,1449.6722947518647,1436.673520145279,1470.878741149449
2006_03_JAX_IND,2006,3,2006-09-24,IND,JAX,21,14,Home,1543.4934263890998,1544.0461175575838,1564.31568993688,1523.2238540098035
2006_03_NYG_SEA,2006,3,2006-09-24,SEA,NYG,42,30,Home,1539.1280905405533,1503.6074861951302,1561.798339881176,1480.9372368545075
2006_03_NYJ_BUF,2006,3,2006-09-24,BUF,NYJ,20,28,Home,1511.892393588722,1499.5080198747846,1489.2646540575943,1522.1357594059123
2006_03_PHI_SF,2006,3,2006-09-24,SF,PHI,24,38,Home,1502.101697127924,1505.5554211236115,1475.3324075679814,1532.324710683554
2006_03_STL_ARI,2006,3,2006-09-24,ARI,LA,14,16,Home,1495.529268487444,1499.07613322864,1484.6727986311819,1509.932603084902
2006_03_TEN_MIA,2006,3,2006-09-24,MIA,TEN,13,10,Home,1452.272417026717,1450.1064278162796,1466.035386941806,1436.3434579011905
2006_03_WAS_HOU,2006,3,2006-09-24,HOU,WAS,15,31,Home,1447.3436662921586,1456.7493660504404,1419.8956956232178,1484.1973367193812
