game_id,season,week,team,passing_tds,rushing_tds,td_special,def_tds,fumble_recovery_tds,passing_2pt_conversions,rushing_2pt_conversions,pat_att,pat_made,fg_att,fg_made,safeties_def,td_off,td_def,td_total,two_pt_att,two_pt_made,two_pt_def,points8,points7,points6,points3,points2,points_total
2006_01_MIA_PIT,2006,1,PIT,3,0,0,1,0,0,0,4,4,1,0,0,3,1,4,0,0,0,0,4,0,0,0,28
2006_01_MIA_PIT,2006,1,MIA,0,2,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_01_ATL_CAR,2006,1,CAR,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,6
2006_01_ATL_CAR,2006,1,ATL,2,0,0,0,0,0,0,2,2,4,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_01_NO_CLE,2006,1,CLE,1,1,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_01_NO_CLE,2006,1,NO,1,0,0,0,0,0,0,1,1,4,4,0,1,0,1,0,0,0,0,1,0,4,0,19
2006_01_SEA_DET,2006,1,DET,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,6
2006_01_SEA_DET,2006,1,SEA,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,3,0,9
2006_01_PHI_HOU,2006,1,HOU,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,10
2006_01_PHI_HOU,2006,1,PHI,3,0,0,0,0,0,0,3,3,1,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_01_CIN_KC,2006,1,KC,1,0,0,0,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,1,0,1,0,10
2006_01_CIN_KC,2006,1,CIN,0,2,0,0,0,0,0,2,2,3,3,0,2,0,2,0,0,0,0,2,0,3,0,23
2006_01_BUF_NE,2006,1,NE,2,0,0,0,0,0,0,2,2,1,1,1,2,0,2,0,0,0,0,2,0,1,1,19
2006_01_BUF_NE,2006,1,BUF,0,1,0,0,1,0,0,2,2,1,1,0,1,1,2,0,0,0,0,2,0,1,0,17
2006_01_DEN_STL,2006,1,LA,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,6,0,18
2006_01_DEN_STL,2006,1,DEN,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,10
2006_01_BAL_TB,2006,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006_01_BAL_TB,2006,1,BAL,1,1,0,1,0,0,0,3,3,2,2,0,2,1,3,0,0,0,0,3,0,2,0,27
2006_01_NYJ_TEN,2006,1,TEN,0,2,0,0,0,1,1,0,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,16
2006_01_NYJ_TEN,2006,1,NYJ,2,1,0,0,0,0,0,3,2,3,1,0,3,0,3,0,0,0,0,2,1,1,0,23
2006_01_SF_ARI,2006,1,ARI,3,1,0,0,0,0,0,4,4,2,2,0,4,0,4,0,0,0,0,4,0,2,0,34
2006_01_SF_ARI,2006,1,SF,1,2,0,0,0,0,0,3,3,3,2,0,3,0,3,0,0,0,0,3,0,2,0,27
2006_01_CHI_GB,2006,1,GB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006_01_CHI_GB,2006,1,CHI,1,0,1,0,0,0,0,2,2,4,4,0,1,0,2,0,0,0,0,2,0,4,0,26
2006_01_DAL_JAX,2006,1,JAX,1,2,0,0,0,0,0,3,3,2,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_01_DAL_JAX,2006,1,DAL,1,1,0,0,0,0,0,2,2,2,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_01_IND_NYG,2006,1,NYG,2,1,0,0,0,0,0,3,3,1,0,0,3,0,3,0,0,0,0,3,0,0,0,21
2006_01_IND_NYG,2006,1,IND,1,1,0,0,0,0,0,2,2,4,4,0,2,0,2,0,0,0,0,2,0,4,0,26
2006_01_MIN_WAS,2006,1,WAS,0,1,0,0,0,0,0,1,1,4,3,0,1,0,1,0,0,0,0,1,0,3,0,16
2006_01_MIN_WAS,2006,1,MIN,1,1,0,0,0,0,0,1,1,3,2,0,2,0,2,1,0,0,0,1,1,2,0,19
2006_01_SD_OAK,2006,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006_01_SD_OAK,2006,1,LAC,1,2,0,0,0,0,0,3,3,2,2,0,3,0,3,0,0,0,0,3,0,2,0,27
2006_02_TB_ATL,2006,2,ATL,1,1,0,0,0,0,0,2,2,4,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_02_TB_ATL,2006,2,TB,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,3
2006_02_OAK_BAL,2006,2,BAL,1,1,0,0,0,0,0,2,2,4,4,1,2,0,2,0,0,0,0,2,0,4,1,28
2006_02_OAK_BAL,2006,2,LV,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,6
2006_02_DET_CHI,2006,2,CHI,4,0,0,0,0,0,0,4,4,2,2,0,4,0,4,0,0,0,0,4,0,2,0,34
2006_02_DET_CHI,2006,2,DET,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,7
2006_02_CLE_CIN,2006,2,CIN,2,2,0,0,0,0,0,4,4,3,2,0,4,0,4,0,0,0,0,4,0,2,0,34
2006_02_CLE_CIN,2006,2,CLE,0,2,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
