season,team,conf,division,games,wins,true_wins,losses,ties,pf,pa,pd,win_pct,div_pct,conf_pct,MOV,SOS,SRS,OSRS,DSRS,sov,sos,div_rank,div_tie_broken_by,conf_rank,conf_tie_broken_by
2006,ARI,NFC,NFC West,16,5,5,11,0,314,389,-75,0.3125,0.6666666666666666,0.4166666666666667,-4.6875,-2.242138526440989,-6.929638526440989,-2.644693716349174,-4.284944810091815,0.425,0.5,4,NA,13,Conference Win PCT (2)
2006,ATL,NFC,NFC South,16,7,7,9,0,292,328,-36,0.4375,0.5,0.4166666666666667,-2.25,-0.7697342855845797,-3.0197342855845797,-2.8072317160831552,-0.21250256950142443,0.375,0.45703125,3,NA,11,NA
2006,BAL,AFC,AFC North,16,13,13,3,0,353,201,152,0.8125,0.8333333333333334,0.8333333333333334,9.5,-0.15287900961424938,9.34712099038575,1.5110120052381575,7.836108985147593,0.44711538461538464,0.4609375,1,NA,2,NA
2006,BUF,AFC,AFC East,16,7,7,9,0,300,311,-11,0.4375,0.5,0.4166666666666667,-0.6875,2.8779124180534517,2.1904124180534517,-0.19510853816753126,2.385520956220983,0.44642857142857145,0.57421875,3,NA,12,NA
2006,CAR,NFC,NFC South,16,8,8,8,0,270,305,-35,0.5,0.8333333333333334,0.5,-2.1875,-0.48570651074035354,-2.6732065107403535,-4.164473780188306,1.4912672694479525,0.46875,0.47265625,2,NA,8,Head-To-Head Sweep (2)
2006,CHI,NFC,NFC North,16,13,13,3,0,427,255,172,0.8125,0.8333333333333334,0.9166666666666666,10.75,-2.849744539991267,7.900255460008733,4.882476911400818,3.0177785486079145,0.40384615384615385,0.4296875,1,NA,1,NA
2006,CIN,AFC,AFC North,16,8,8,8,0,373,331,42,0.5,0.6666666666666666,0.5,2.625,1.455801539107778,4.080801539107778,4.034474304330153,0.04632723477762468,0.453125,0.53515625,2,Division Win PCT (2),8,Conference Win PCT (2)
2006,CLE,AFC,AFC North,16,4,4,12,0,238,356,-118,0.25,0,0.25,-7.375,1.5339265385839234,-5.841073461416077,-4.512400695262393,-1.3286727661536837,0.4375,0.53515625,4,NA,15,NA
2006,DAL,NFC,NFC East,16,9,9,7,0,425,350,75,0.5625,0.3333333333333333,0.5,4.6875,-1.028033770886978,3.659466229113022,4.979211876262838,-1.3197456471498157,0.4375,0.45703125,2,NA,5,NA
2006,DEN,AFC,AFC West,16,9,9,7,0,319,305,14,0.5625,0.5,0.6666666666666666,0.875,0.4460753596817497,1.3210753596817497,-0.794041627867756,2.1151169875495057,0.4375,0.53125,3,Division Win PCT (2),7,Division Tiebreaker
2006,DET,NFC,NFC North,16,3,3,13,0,305,398,-93,0.1875,0,0.16666666666666666,-5.8125,-0.5379389905127461,-6.350438990512746,-1.771888170362491,-4.578550820150255,0.4791666666666667,0.5234375,4,NA,16,NA
2006,GB,NFC,NFC North,16,8,8,8,0,301,366,-65,0.5,0.8333333333333334,0.5833333333333334,-4.0625,-0.35495288094990585,-4.417452880949906,-2.273773090849904,-2.143679790100002,0.3828125,0.5,2,NA,7,Conference Win PCT (3)
