game_id,season,week,team,opponent,turnover_diff,turnover_won,turnover_lost,interception_won,interception_lost,fumble_won,fumble_lost
2006_01_MIA_PIT,2006,1,PIT,MIA,-1,0,1,0,0,0,1
2006_01_MIA_PIT,2006,1,MIA,PIT,-2,0,2,0,2,0,0
2006_01_ATL_CAR,2006,1,CAR,ATL,-1,1,2,1,1,0,1
2006_01_ATL_CAR,2006,1,ATL,CAR,3,3,0,2,0,1,0
2006_01_NO_CLE,2006,1,CLE,NO,0,3,3,1,2,2,1
2006_01_NO_CLE,2006,1,NO,CLE,2,4,2,4,1,0,1
2006_01_SEA_DET,2006,1,DET,SEA,2,3,1,2,0,1,1
2006_01_SEA_DET,2006,1,SEA,DET,-1,0,1,0,0,0,1
2006_01_PHI_HOU,2006,1,HOU,PHI,0,0,0,0,0,0,0
2006_01_PHI_HOU,2006,1,PHI,HOU,-1,0,1,0,1,0,0
2006_01_CIN_KC,2006,1,KC,CIN,0,2,2,0,1,2,1
2006_01_CIN_KC,2006,1,CIN,KC,-2,0,2,0,0,0,2
2006_01_BUF_NE,2006,1,NE,BUF,-1,1,2,0,1,1,1
2006_01_BUF_NE,2006,1,BUF,NE,0,0,0,0,0,0,0
2006_01_DEN_STL,2006,1,LA,DEN,3,3,0,1,0,2,0
2006_01_DEN_STL,2006,1,DEN,LA,-5,0,5,0,3,0,2
2006_01_BAL_TB,2006,1,TB,BAL,1,4,3,1,3,3,0
2006_01_BAL_TB,2006,1,BAL,TB,0,0,0,0,0,0,0
2006_01_NYJ_TEN,2006,1,TEN,NYJ,1,4,3,3,3,1,0
2006_01_NYJ_TEN,2006,1,NYJ,TEN,-2,0,2,0,0,0,2
2006_01_SF_ARI,2006,1,ARI,SF,0,1,1,1,0,0,1
2006_01_SF_ARI,2006,1,SF,ARI,-2,0,2,0,0,0,2
2006_01_CHI_GB,2006,1,GB,CHI,2,5,3,4,2,1,1
2006_01_CHI_GB,2006,1,CHI,GB,-1,0,1,0,1,0,0
2006_01_DAL_JAX,2006,1,JAX,DAL,-1,0,1,0,1,0,0
2006_01_DAL_JAX,2006,1,DAL,JAX,-3,0,3,0,3,0,0
2006_01_IND_NYG,2006,1,NYG,IND,-1,1,2,0,1,1,1
2006_01_IND_NYG,2006,1,IND,NYG,-1,0,1,0,1,0,0
2006_01_MIN_WAS,2006,1,WAS,MIN,0,0,0,0,0,0,0
2006_01_MIN_WAS,2006,1,MIN,WAS,2,2,0,1,0,1,0
2006_01_SD_OAK,2006,1,LV,LAC,0,1,1,0,0,1,1
2006_01_SD_OAK,2006,1,LAC,LV,0,0,0,0,0,0,0
2006_02_TB_ATL,2006,2,ATL,TB,-1,1,2,1,1,0,1
2006_02_TB_ATL,2006,2,TB,ATL,-3,0,3,0,3,0,0
2006_02_OAK_BAL,2006,2,BAL,LV,1,2,1,1,1,1,0
2006_02_OAK_BAL,2006,2,LV,BAL,-4,2,6,0,3,2,3
2006_02_DET_CHI,2006,2,CHI,DET,-1,0,1,0,0,0,1
2006_02_DET_CHI,2006,2,DET,CHI,-2,1,3,1,0,0,3
2006_02_CLE_CIN,2006,2,CIN,CLE,-1,1,2,1,2,0,0
2006_02_CLE_CIN,2006,2,CLE,CIN,1,4,3,2,2,2,1
2006_02_NO_GB,2006,2,GB,NO,0,2,2,2,1,0,1
2006_02_NO_GB,2006,2,NO,GB,-3,0,3,0,1,0,2
2006_02_HOU_IND,2006,2,IND,HOU,-1,0,1,0,0,0,1
2006_02_HOU_IND,2006,2,HOU,IND,-2,0,2,0,0,0,2
2006_02_BUF_MIA,2006,2,MIA,BUF,0,1,1,1,1,0,0
2006_02_BUF_MIA,2006,2,BUF,MIA,0,0,0,0,0,0,0
2006_02_CAR_MIN,2006,2,MIN,CAR,-2,0,2,0,1,0,1
2006_02_CAR_MIN,2006,2,CAR,MIN,2,2,0,2,0,0,0
2006_02_NYG_PHI,2006,2,PHI,NYG,1,2,1,1,0,1,1
2006_02_NYG_PHI,2006,2,NYG,PHI,0,1,1,0,1,1,0
2006_02_ARI_SEA,2006,2,SEA,ARI,-2,0,2,0,2,0,0
2006_02_ARI_SEA,2006,2,ARI,SEA,-1,1,2,1,1,0,1
2006_02_STL_SF,2006,2,SF,LA,0,1,1,0,0,1,1
